row_id,source,lat_deg,lon_deg,report_date,status_id,water_source_clean,water_source_category,water_tech_clean,_water_tech_category,facility_type,clean_country_name,clean_country_id,Region,District,County,Subcounty,install_year,installer,management_clean,status_clean,pay_clean,fecal_coliform_presence,activity_id,scheme_id,wpdx_id,notes,orig_lnk,country_id,data_lnk,distance_to_primary,distance_to_secondary,distance_to_tertiary,distance_to_city,distance_to_town,water_point_history,local_population,served_population,rehab_priority,_pop_who_would_gain_access,crucialness,pressure,usage_cap,days_since_report,staleness_score,is_latest,location_id,is_urban,cluster_size,country_name,water_source,water_tech,status,adm1,adm2,adm3,management,pay,new_georeferenced_column_,lat_lon_deg,public_data_source,converted,count,created_timestamp,updated,dataset_title
787173,"Ministry of Water and Environment, Uganda",-0.84430892,29.88017706,2010-08-05T00:00:00Z,Yes,NA,NA,Public Tapstand,Public Tapstand,Improved,Uganda,UGA,Western,Rukungiri,Bujumbura,Nyakagyeme,2002,NA,Community Management,"Functional, needs repair",Fees collected – basis unknown,NA,037-01935,NA,6GFF5V4J+73F,NA,NA,UG,https://catalog.waterpointdata.org/datasets/mwe-uganda-5ee94aad,29626.909087076616,4992.550435583942,1004.2544864751964,77836.35043172186,7703.397042464174,"{""2010-08-05"": {""source"": ""Ministry of Water and Environment, Uganda"", ""status_id"": ""Yes"", ""water_tech_clean"": ""Public Tapstand""}}",NA,NA,NA,NA,NA,NA,NA,5071,20.221048851093883,TRUE,86519,FALSE,1,Uganda,Public Stand Post,NA,Functional,KABALE,RUBANDA,NA,Community Management,Water Committee Collects Fees,POINT (29.88017706 -0.84430892),"(-0.84430892°, 29.88017706°)",https://catalog.waterpointdata.org/datafiles/mwe-uganda-5ee94aad.xlsx,"#lat_deg, #lon_deg, #status_id, #pay, #management",1,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Ministry of Water and Environment_Uganda_2009
791040,"Ministry of Water and Environment, Uganda",-0.2513299,29.70490833,2011-09-13T00:00:00Z,Yes,NA,NA,Public Tapstand,Public Tapstand,Improved,Uganda,UGA,Western,Rubirizi,Bunyaruguru,Katunguru,2011,NA,Private Operator/Delegated Management,"Functional, needs repair",NA,NA,045-00529,KANYANTOROGO,6GFFPPX3+FX7,NA,NA,UG,https://catalog.waterpointdata.org/datasets/mwe-uganda-5ee94aad,19612.937800116917,20845.323493807093,16927.430875123166,62004.76863476538,20111.671571825376,"{""2011-09-13"": {""source"": ""Ministry of Water and Environment, Uganda"", ""status_id"": ""Yes"", ""water_tech_clean"": ""Public Tapstand""}}",NA,NA,NA,NA,NA,NA,NA,4667,22.967271268371697,TRUE,111444,FALSE,1,Uganda,Public Stand Post,NA,Functional,KANUNGU,KINKIIZI,NA,Private Operator/Delegated Management,NA,POINT (29.70490833 -0.2513299),"(-0.2513299°, 29.70490833°)",https://catalog.waterpointdata.org/datafiles/mwe-uganda-5ee94aad.xlsx,"#lat_deg, #lon_deg, #status_id, #pay, #management",1,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Ministry of Water and Environment_Uganda_2009
781767,"Ministry of Water and Environment, Uganda",-1.07314347,30.00535966,2010-04-22T00:00:00Z,Yes,NA,NA,Public Tapstand,Public Tapstand,Improved,Uganda,UGA,Western,Rukiga,Rukiga,Kashambya,1996,NA,Community Management,"Functional, needs repair",Fees collected – basis unknown,NA,037-00604,NA,6GCGW2G4+P4X,NA,NA,UG,https://catalog.waterpointdata.org/datasets/mwe-uganda-5ee94aad,12632.132592872766,994.8692207251728,193.8530888317358,62906.64340099739,15458.330721134822,"{""2010-04-22"": {""source"": ""Ministry of Water and Environment, Uganda"", ""status_id"": ""Yes"", ""water_tech_clean"": ""Public Tapstand""}}",NA,NA,NA,NA,NA,NA,NA,5176,19.562739263420717,TRUE,35919,FALSE,1,Uganda,Public Stand Post,NA,Functional,KABALE,NDORWA,NA,Community Management,Water Committee Collects Fees,POINT (30.00535966 -1.07314347),"(-1.07314347°, 30.00535966°)",https://catalog.waterpointdata.org/datafiles/mwe-uganda-5ee94aad.xlsx,"#lat_deg, #lon_deg, #status_id, #pay, #management",1,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Ministry of Water and Environment_Uganda_2009
789390,"Ministry of Water and Environment, Uganda",-0.8971337,30.05788363,2010-04-23T00:00:00Z,Yes,NA,NA,Public Tapstand,Public Tapstand,Improved,Uganda,UGA,Western,Ntungamo,Rushenyi,Rugarama,2001,NA,Community Management,"Functional, needs repair",Fees collected – basis unknown,NA,037-03158,nyakagabagaba- burime gfs,6GFG4335+45R,NA,NA,UG,https://catalog.waterpointdata.org/datasets/mwe-uganda-5ee94aad,23208.69091872488,4248.664998891183,3262.801679889484,73453.5595824468,18885.060357001017,"{""2010-04-23"": {""source"": ""Ministry of Water and Environment, Uganda"", ""status_id"": ""Yes"", ""water_tech_clean"": ""Public Tapstand""}}",NA,NA,NA,NA,NA,NA,NA,5175,19.568906668900777,TRUE,37952,FALSE,1,Uganda,Yard tap for public use,NA,Functional,KABALE,RUKIGA,NA,Community Management,Water Committee Collects Fees,POINT (30.05788363 -0.8971337),"(-0.8971337°, 30.05788363°)",https://catalog.waterpointdata.org/datafiles/mwe-uganda-5ee94aad.xlsx,"#lat_deg, #lon_deg, #status_id, #pay, #management",1,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Ministry of Water and Environment_Uganda_2009
9351,"Ministry of Water and Environment, Uganda",-1.11776915,29.93457961,2010-05-22T00:00:00Z,Yes,NA,NA,Public Tapstand,Public Tapstand,Improved,Uganda,UGA,Western,Rubanda,Rubanda,Hamurwa,2005,NA,Community Management,"Functional, needs repair",Fees collected – basis unknown,NA,078-00374,KANYABWANGA,6GCFVWJM+VRW,NA,NA,UG,https://catalog.waterpointdata.org/datasets/mwe-uganda-5ee94aad,3350.315564029148,4352.799765520146,3742.056082922994,54095.281748878755,16511.541883775157,"{""2010-05-22"": {""source"": ""Ministry of Water and Environment, Uganda"", ""status_id"": ""Yes"", ""water_tech_clean"": ""Public Tapstand""}}",NA,NA,NA,NA,NA,NA,NA,5146,19.748609715827143,TRUE,65797,FALSE,1,Uganda,Public Stand Post,NA,Functional,MITOOMA,Ruhinda,NA,Community Management,Water Committee Collects Fees,POINT (29.93457961 -1.11776915),"(-1.11776915°, 29.93457961°)",https://catalog.waterpointdata.org/datafiles/mwe-uganda-5ee94aad.xlsx,"#lat_deg, #lon_deg, #status_id, #pay, #management",1,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Ministry of Water and Environment_Uganda_2009
17109,"Ministry of Water and Environment, Uganda",-0.46044384,29.9914874,2010-08-03T00:00:00Z,Yes,NA,NA,Public Tapstand,Public Tapstand,Improved,Uganda,UGA,Western,Mitooma,Ruhinda,Kiyanga,2006,NA,Community Management,"Functional, needs repair",Fees collected – basis unknown,NA,102-00419,itemba-izinga,6GFFGXQR+RHH,NA,NA,UG,https://catalog.waterpointdata.org/datasets/mwe-uganda-5ee94aad,12914.770363649786,9647.328798739783,2946.4812595055773,70755.87128351849,18633.470108897254,"{""2010-08-03"": {""source"": ""Ministry of Water and Environment, Uganda"", ""status_id"": ""Yes"", ""water_tech_clean"": ""Public Tapstand""}}",NA,NA,NA,NA,NA,NA,NA,5073,20.208304985801504,TRUE,84861,FALSE,1,Uganda,Public Stand Post,NA,Functional,RUKUNGIRI,RUBABO,NA,Community Management,Water Committee Collects Fees,POINT (29.9914874 -0.46044384),"(-0.46044384°, 29.9914874°)",https://catalog.waterpointdata.org/datafiles/mwe-uganda-5ee94aad.xlsx,"#lat_deg, #lon_deg, #status_id, #pay, #management",1,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Ministry of Water and Environment_Uganda_2009
784730,"Ministry of Water and Environment, Uganda",-1.21858778,30.09367393,2010-04-22T00:00:00Z,Yes,NA,NA,Public Tapstand,Public Tapstand,Improved,Uganda,UGA,Western,Rukiga,Rukiga,Rwamucucu,2005,NA,Community Management,"Functional, needs repair",Fees collected – basis unknown,NA,037-01115,NA,6GCGQ3JV+HF7,NA,NA,UG,https://catalog.waterpointdata.org/datasets/mwe-uganda-5ee94aad,12066.900810995094,5641.653698481892,587.3194728600738,59892.83578841324,9435.392751801706,"{""2010-04-22"": {""source"": ""Ministry of Water and Environment, Uganda"", ""status_id"": ""Yes"", ""water_tech_clean"": ""Public Tapstand""}}",NA,NA,NA,NA,NA,NA,NA,5176,19.562739263420717,TRUE,36154,FALSE,1,Uganda,Public Stand Post,NA,Functional,KABALE,NDORWA,NA,Community Management,Water Committee Collects Fees,POINT (30.09367393 -1.21858778),"(-1.21858778°, 30.09367393°)",https://catalog.waterpointdata.org/datafiles/mwe-uganda-5ee94aad.xlsx,"#lat_deg, #lon_deg, #status_id, #pay, #management",1,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Ministry of Water and Environment_Uganda_2009
21824,"Ministry of Water and Environment, Uganda",-0.64940401,29.84952515,2010-04-28T00:00:00Z,Yes,NA,NA,Public Tapstand,Public Tapstand,Improved,Uganda,UGA,Western,Rukungiri,Bujumbura,Bukurungu Town Council,2008,NA,Other,"Functional, needs repair",NA,NA,102-01376,bikurungu,6GFF9R2X+6RJ,NA,NA,UG,https://catalog.waterpointdata.org/datasets/mwe-uganda-5ee94aad,15661.916075449071,12561.778363054214,67.14698326513924,74240.50881634456,17772.47171626066,"{""2010-04-28"": {""source"": ""Ministry of Water and Environment, Uganda"", ""status_id"": ""Yes"", ""water_tech_clean"": ""Public Tapstand""}}",NA,NA,NA,NA,NA,NA,NA,5170,19.599772873873643,TRUE,41025,FALSE,1,Uganda,Public Stand Post,NA,Functional,RUKUNGIRI,RUJUMBURA,NA,Other,NA,POINT (29.84952515 -0.64940401),"(-0.64940401°, 29.84952515°)",https://catalog.waterpointdata.org/datafiles/mwe-uganda-5ee94aad.xlsx,"#lat_deg, #lon_deg, #status_id, #pay, #management",1,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Ministry of Water and Environment_Uganda_2009
776582,"Ministry of Water and Environment, Uganda",-0.92155722,30.54879066,2010-08-30T00:00:00Z,Yes,NA,NA,Public Tapstand,Public Tapstand,Improved,Uganda,UGA,Western,Ntungamo,Ruhaama,Rukoni East,2007,NA,Community Management,"Functional, needs repair",Fees collected – basis unknown,NA,032-00359,Kikyenkye GFS,6GFG3GHX+9GF,NA,NA,UG,https://catalog.waterpointdata.org/datasets/mwe-uganda-5ee94aad,7244.361030829106,5749.478600076517,1350.1306183984443,36279.27072700468,31784.222219468196,"{""2010-08-30"": {""source"": ""Ministry of Water and Environment, Uganda"", ""status_id"": ""Yes"", ""water_tech_clean"": ""Public Tapstand""}}",NA,NA,NA,NA,NA,NA,NA,5046,20.381026897460337,TRUE,91104,FALSE,1,Uganda,Public Stand Post,NA,Functional,IBANDA,Ibanda,NA,Community Management,Water Committee Collects Fees,POINT (30.54879066 -0.92155722),"(-0.92155722°, 30.54879066°)",https://catalog.waterpointdata.org/datafiles/mwe-uganda-5ee94aad.xlsx,"#lat_deg, #lon_deg, #status_id, #pay, #management",1,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Ministry of Water and Environment_Uganda_2009
778691,"Ministry of Water and Environment, Uganda",-0.90772017,30.65276909,2010-05-05T00:00:00Z,Yes,NA,NA,Public Tapstand,Public Tapstand,Improved,Uganda,UGA,Western,Isingiro,Isingiro,Kabuyanda,2004,NA,Community Management,"Functional, needs repair",NA,NA,034-01719,NA,6GFG3MR3+W46,NA,NA,UG,https://catalog.waterpointdata.org/datasets/mwe-uganda-5ee94aad,11390.969903301935,740.6001031772128,627.5914467525636,32832.99826607493,22097.4975625353,"{""2010-05-05"": {""source"": ""Ministry of Water and Environment, Uganda"", ""status_id"": ""Yes"", ""water_tech_clean"": ""Public Tapstand""}}",NA,NA,NA,NA,NA,NA,NA,5163,19.643067369724857,TRUE,51289,FALSE,1,Uganda,Public Stand Post,NA,Functional,ISINGIRO,ISINGIRO,NA,Community Management,NA,POINT (30.65276909 -0.90772017),"(-0.90772017°, 30.65276909°)",https://catalog.waterpointdata.org/datafiles/mwe-uganda-5ee94aad.xlsx,"#lat_deg, #lon_deg, #status_id, #pay, #management",1,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Ministry of Water and Environment_Uganda_2009
18973,"Ministry of Water and Environment, Uganda",-1.00310374,29.94187854,2010-05-03T00:00:00Z,Yes,NA,NA,Public Tapstand,Public Tapstand,Improved,Uganda,UGA,Western,Rukungiri,Rubabo,Nyarushanje,2002,NA,Community Management,"Functional, needs repair",Fees collected – basis unknown,NA,102-00841,KATATE,6GCFXWWR+QQ2,NA,NA,UG,https://catalog.waterpointdata.org/datasets/mwe-uganda-5ee94aad,13635.354070887975,32.47752202338646,102.33779852887106,64998.71050009678,21923.995701841945,"{""2010-05-03"": {""source"": ""Ministry of Water and Environment, Uganda"", ""status_id"": ""Yes"", ""water_tech_clean"": ""Public Tapstand""}}",NA,NA,NA,NA,NA,NA,NA,5165,19.63068776437736,TRUE,47761,FALSE,1,Uganda,Public Stand Post,NA,Functional,RUKUNGIRI,RUBABO,NA,Community Management,Water Committee Collects Fees,POINT (29.94187854 -1.00310374),"(-1.00310374°, 29.94187854°)",https://catalog.waterpointdata.org/datafiles/mwe-uganda-5ee94aad.xlsx,"#lat_deg, #lon_deg, #status_id, #pay, #management",1,2020-01-01T00:00:00Z,2020-01-01T00:00:00Z,Ministry of Water and Environment_Uganda_2009
